Common name,Scientific name,Order,Family,Last confirmed record ,Years since last record,Possibly extinct?,Cause of decline,Island?,Montane?,Zoogeography,Tropical?,Country,Region,IUCN Assesment ,Notes
Oates's Blind Snake,Argyrophis oatesii,Squamata,Typhlopidae,1890,131,0,Unknown,1,0,Oriental,1,Myanmar,Cocos Islands,DD,Known only from type series. Collection date not given so description date applied.
Roxane's Blind Snake,Argyrophis roxaneae,Squamata,Typhlopidae,1963,58,0,Unknown,0,0,Oriental,1,Thailand,,DD,Known only from holotype.
Trang Blind Snake,Argyrophis trangensis,Squamata,Typhlopidae,1958,63,0,Unknown,0,0,Oriental,1,Thailand,,DD,Known only from holotype.
Spectacled Lizard sp.,Arthrosaura tyleri,Squamata,Gymnophthalmidae,1931,90,0,Unknown. Potentially climate change,0,1,South American,1,Venezuela,,LC,Known only from type series.
Snake sp.,Atractus acheronius,Squamata,Dipsadidae,1950,71,0,Unknown. Potentially habitat loss.,0,1,South American,1,Venezuela,,DD,Known only from holotype.
Snake sp.,Atractus altagratiae,Squamata,Dipsadidae,1957,64,0,None,0,0,South American,1,Brazil,,LC,Known only from holotype.
Bolivian Ground Snake,Atractus balzani,Squamata,Dipsadidae,1891,130,0,Unknown. Potentially habitat loss.,0,1,South American,1,Bolivia,,DD,Known only from type series.
Two-lined Ground Snake,Atractus biseriatus,Squamata,Dipsadidae,1941,80,0,Unknown. Potentially habitat loss.,0,1,South American,1,Colombia,,DD,Known only from holotype.
Snake sp.,Atractus darienensis,Squamata,Dipsadidae,1966,55,0,Unknown,0,0,South American,1,Panama ,Darien region,DD,Known only from holotype.
Snake sp.,Atractus duidensis,Squamata,Dipsadidae,1959,62,0,Potentially habitat loss,0,1,South American,1,Venezuela,,LC,"Known only from type series. Last observed in 1950s, 1959 conservatively applied."
Snake sp.,Atractus hostilitractus,Squamata,Dipsadidae,1967,54,0,Unknown. Potentially selective logging,0,0,South American,1,Panama ,Darien region,DD,Known only from holotype.
Snake sp.,Atractus imperfectus,Squamata,Dipsadidae,1936,85,0,Unknown. Potentially habitat loss.,0,0,South American,1,Panama,,DD,Known only from holotype.
Snake sp.,Atractus insipidus,Squamata,Dipsadidae,1952,69,0,Unknown,0,0,South American,1,Brazil,,DD,Known only from holotype.
Snake sp.,Atractus loveridgei,Squamata,Dipsadidae,1961,60,0,Unknown. Potentially habitat loss.,0,?,South American,1,Colombia,,DD,"Last seen "">60 years ago"", 1961 conservatively applied."
Snake sp.,Atractus nasutus,Squamata,Dipsadidae,1954,67,0,Unknown. Potentially habitat loss.,0,1,South American,1,Colombia,,DD,Known only from holotype.
Black-ventered Ground Snake,Atractus nigriventris,Squamata,Dipsadidae,1933,88,0,Unknown,0,?,South American,1,Colombia,,DD,Known only from holotype. Collection date not given so description date applied.
Hispanic Ground Snake,Atractus oculotemporalis,Squamata,Dipsadidae,1932,89,0,Unknown. Potentially habitat loss.,0,1,South American,1,Colombia,,DD,Known only from holotype.
Peru Ground Snake,Atractus peruvianus,Squamata,Dipsadidae,1862,159,0,Unknown,0,?,South American,1,Peru,,DD,Known only from holotype. Collection date not given so description date applied.
Variegated Ground Snake,Atractus variegatus,Squamata,Dipsadidae,1949,72,0,Unknown,0,1,South American,1,Venezuela,,DD,"last seen in 1940s, 1949 conservatively applied."
Lizard sp.,Bachia beebei,Squamata,Gymnophthalmidae,1945,76,0,Unknown,0,?,South American,1,Venezuela,,DD,"last seen in ""early 1940s"", 1945 conservatively applied."
Lizard sp.,Bachia marcelae,Squamata,Gymnophthalmidae,1963,58,0,Unknown,0,?,South American,1,Venezuela,,DD,Known only from holotype.
West African Worm Lizard,Baikia africana,Squamata,Amphisbaenidae,1963,58,0,Unknown,0,0,African,1,Nigeria,,DD,
Saint Croix Racer,Borikenophis sanctaecrucis,Squamata,Dipsadidae,1899,122,1,Habitat loss and introduced predators,1,0,South American,1,United States Virgin Islands,,CR,"Last observed in ""19th century"" , 1899 conservativly assigned. "
Skink sp.,Brachymeles wrighti,Squamata,Scincidae,1910,111,0,Unknown,1,0,Oriental,1,Phillipines ,Luzon,DD,"Known only from type series. Last observed in ""early 1900s"", 1910 conservatively applied."
Chameleon sp.,Brookesia lambertoni,Squamata,Chamaeleonidae,1921,100,0,Habitat loss,1,0,African,1,Madagascar,,DD,
Reed Snake sp.,Calamaria alidae,Squamata,Calamariidae,1965,56,0,Habitat loss and natural disasters,1,0,Oriental,1,Indonesia,"Bengkulu, Sumatra",DD,Collection date not given so description date applied.
Reed Snake sp.,Calamaria battersbyi,Squamata,Calamariidae,1965,56,0,Unknown. Habitat loss hypothesised,1,0,Oriental,1,Indonesia ,Kalimantan,DD,Known only from holotype. Collection date not given so description date applied.
Reed Snake sp.,Calamaria boesemani,Squamata,Calamariidae,1919,102,0,Unknown,1,0,Oriental,1,Indonesia ,Sulawesi,DD,Known only from holotype.
D”derlein's Reed Snake,Calamaria doederleini,Squamata,Calamariidae,1902,119,0,Unknown. Habitat loss hypothesised,1,0,Oriental,1,Indonesia ,Sumatra,DD,Known only from holotype. Collection date not given so description date applied.
Eiselt's Reed Snake,Calamaria eiselti,Squamata,Calamariidae,1965,56,0,Unknown,1,0,Oriental,1,Indonesia ,Sumatra,DD,Known only from type series. Collection date not given so description date applied.
Forcart's Reed Snake,Calamaria forcarti,Squamata,Calamariidae,1965,56,0,Habitat loss,1,0,Oriental,1,Indonesia ,"Nias, Sumatra",DD,Known only from type series. Collection date not given so description date applied.
Javanese Reed Snake,Calamaria javanica,Squamata,Calamariidae,1891,130,0,Habitat loss,1,0,Oriental,1,Indonesia,Belitung Island,DD,
Reed Snake sp.,Calamaria joloensis,Squamata,Calamariidae,1922,99,0,Habitat loss,1,0,Oriental,1,Phillipines,Sulu Islands,DD,Known only from type series. Collection date not given so description date applied.
White-striped Reed Snake,Calamaria lateralis,Squamata,Calamariidae,1937,84,0,None,1,1,Oriental,1,Malaysia ,Sabah,DD,GBIF used as last obervation date resource 
Prakke's Reed Snake,Calamaria prakkei,Squamata,Calamariidae,1893,128,1,Habitat loss,1,0,Oriental,1,Malaysia,Sabah,CR,
Rebentisch's Reed Snake,Calamaria rebentischi,Squamata,Calamariidae,1860,161,0,Habitat loss,1,0,Oriental,1,Indonesia ,Borneo,DD,Known only from holotype.
Ulmer's Reed Snake,Calamaria ulmeri,Squamata,Calamariidae,1970,51,0,Unknown. Habitat loss hypothesised,1,1,Oriental,1,Indonesia ,Sumatra,DD,
Marie-Galante Skink,Capitellum mariagalantae,Squamata,Scincidae,1839,182,1,Introduced predators and habitat loss,1,0,South American,1,Guadeloupe,,CR,"Known only from holotype. Last observered in 1830s, 1839 conservatively applied."
Lesser Martinique Skink,Capitellum metallicum,Squamata,Scincidae,1830,191,1,Introduced predators and habitat loss,1,0,South American,1,Martinique,,CR,
Lesser Saint Croix Skink,Capitellum parvicruzae,Squamata,Scincidae,1875,146,1,Introduced predators,1,0,South American,1,United States Virgin Islands,,CR,
